,Date,Open,High,Low,Close,Volume,Time_hours,Time_minutes,rank
0,01-01-2024,642.2,642.7,641,641.95,89481,9,15,0
1,01-01-2024,641.95,642.85,641.95,642.45,48965,9,16,0
2,01-01-2024,642.7,644,642.7,643.5,65729,9,17,0
3,01-01-2024,643.9,644.55,643.3,643.4,47909,9,18,0
4,01-01-2024,643.7,644.1,643.45,643.75,27645,9,19,0
5,01-01-2024,643.75,644,643.2,643.45,39094,9,20,0
6,01-01-2024,643.3,643.95,643.3,643.6,11082,9,21,0
7,01-01-2024,643.6,643.95,643.2,643.4,22129,9,22,0
8,01-01-2024,643.35,643.9,643.3,643.55,9470,9,23,0
9,01-01-2024,643.55,645.7,643.55,645.5,91865,9,24,0
10,01-01-2024,645.55,645.65,644.5,645,37769,9,25,0
11,01-01-2024,644.65,644.95,644.25,644.4,18947,9,26,0
12,01-01-2024,643.85,644.25,643.7,643.9,14860,9,27,0
13,01-01-2024,644.2,644.45,643.6,644.45,13256,9,28,0
14,01-01-2024,644.45,644.45,643.8,644,12833,9,29,0
15,01-01-2024,643.7,644.2,643.5,644.1,13928,9,30,0
16,01-01-2024,644.1,644.15,643.35,643.7,13346,9,31,0
17,01-01-2024,643.5,643.95,643.4,643.65,6099,9,32,0
18,01-01-2024,643.8,644.45,643.05,644.4,31106,9,33,0
19,01-01-2024,644.4,645,644.1,644.8,22183,9,34,0
20,01-01-2024,644.8,645,644.5,644.6,16095,9,35,0
21,01-01-2024,644.6,644.9,644.15,644.85,30302,9,36,0
22,01-01-2024,644.8,644.9,644.1,644.35,17571,9,37,0
23,01-01-2024,644.3,644.55,644,644.45,36734,9,38,0
24,01-01-2024,644.45,644.45,643.25,643.4,63096,9,39,0
25,01-01-2024,643.25,644.1,643.05,643.8,19989,9,40,0
26,01-01-2024,643.8,644.45,643.5,643.7,23776,9,41,0
27,01-01-2024,644,644.15,643.5,643.5,12044,9,42,0
28,01-01-2024,643.5,644,643.5,643.75,7502,9,43,0
29,01-01-2024,643.75,643.75,643.05,643.25,22172,9,44,0
30,01-01-2024,643.3,643.85,643.3,643.6,14832,9,45,0
